"x"	"y"	"l1_1"	"l1_2"	"l2_1"	"l2_2"	"l3_1"	"l3_2"	"l4_1"	"l4_2"	"l5_1"	"l5_2"	"l6_1"	"l6_2"	"l7_1"	"l7_2"	"l8_1"	"l8_2"	"l9_1"	"l9_2"	"l10_1"	"l10_2"	"age"	"parent1"	"parent2"
313	249	4	7	6	6	3	1	6	2	2	1	7	7	4	1	5	7	7	6	2	5	12	0	0
312	236	4	7	8	6	3	2	6	6	2	3	6	7	4	4	5	5	7	6	5	2	12	0	0
198	321	7	5	6	5	8	6	3	3	4	1	3	4	5	7	7	1	6	6	2	6	12	0	0
178	327	7	8	6	3	8	2	3	6	4	1	3	7	5	7	4	6	6	7	5	5	12	0	0
165	311	8	7	6	2	8	4	6	7	2	7	3	4	5	4	7	8	6	4	2	7	11	0	0
452	242	4	8	3	6	4	5	6	7	4	4	3	4	4	2	7	5	6	3	5	2	11	0	0
432	354	2	4	6	5	3	2	2	7	7	1	3	3	7	6	6	6	4	6	5	5	11	0	0
412	340	2	7	6	2	6	7	6	2	8	8	3	3	7	7	5	5	4	7	6	8	10	0	0
414	355	2	2	6	2	3	4	6	6	7	7	3	3	1	4	5	1	6	6	5	5	83	0	0
333	256	7	5	2	3	1	3	7	8	3	4	4	4	4	7	5	7	4	7	2	4	62	0	0
330	273	7	7	2	2	1	3	7	2	7	3	2	6	1	1	8	5	4	7	7	7	59	0	0
210	321	6	2	6	5	5	6	2	8	3	2	4	7	6	6	7	7	2	7	2	7	45	0	0
188	301	2	4	6	6	6	3	9	8	2	4	4	4	5	4	7	7	6	5	7	1	43	0	0
173	326	7	4	6	6	6	3	9	6	4	3	4	7	1	5	4	6	6	6	2	7	42	0	0
170	324	7	2	6	6	8	6	9	8	4	8	4	3	1	1	4	5	9	5	7	6	40	0	0
485	362	4	8	2	6	6	6	6	7	3	4	3	6	6	4	4	1	7	9	5	5	35	0	0
454	328	4	8	2	6	6	2	2	6	3	4	4	3	6	5	7	4	7	6	6	5	34	0	0
490	347	6	7	6	2	8	2	2	6	3	1	3	5	4	1	4	7	4	2	5	2	33	0	0
500	336	7	7	6	2	6	6	6	6	3	7	3	6	4	2	1	7	4	7	1	7	33	0	0
490	332	7	8	6	6	6	1	6	6	3	2	3	3	4	4	6	4	5	6	1	2	32	0	0
489	336	7	4	6	2	6	3	6	9	3	2	3	3	4	2	6	7	4	7	5	5	31	0	0
21	217	2	6	8	3	5	5	7	2	4	4	3	4	1	6	7	7	6	2	2	5	79	0	0
24	208	2	2	6	8	3	1	6	2	4	7	3	3	1	8	7	5	6	4	2	5	30	0	0
8	212	2	2	6	8	3	1	6	2	4	7	2	3	1	8	7	5	6	4	7	5	29	0	0
291	302	7	7	6	2	1	7	9	2	3	7	6	6	6	2	1	2	6	7	7	2	27	0	0
283	254	7	2	2	6	1	3	9	8	3	2	4	6	6	6	5	7	6	7	5	2	27	0	0
94	188	4	2	6	6	7	5	6	7	3	4	5	2	6	1	6	4	6	6	2	5	27	0	0
72	172	4	4	6	6	8	6	2	8	3	2	3	7	7	6	6	7	6	7	5	7	26	0	0
313	113	7	7	6	6	6	6	2	6	7	4	3	4	6	5	2	4	7	9	5	2	82	0	0
100	101	7	7	5	5	1	6	9	2	1	7	3	6	6	4	7	2	7	3	2	5	24	0	0
81	103	7	2	5	6	1	3	9	2	1	7	3	3	6	7	6	5	6	4	5	5	24	0	0
89	90	4	7	5	2	2	6	9	6	8	7	3	6	1	6	7	7	6	7	5	4	22	0	0
119	122	7	7	5	6	1	6	9	6	1	2	3	7	6	1	6	4	7	9	2	2	22	0	0
71	100	7	4	2	6	1	7	7	6	8	3	3	3	1	7	6	6	7	9	2	5	21	0	0
142	388	7	2	6	6	7	6	2	5	4	4	8	7	2	5	3	4	1	5	9	7	20	0	0
132	133	6	7	6	4	6	6	4	7	3	7	7	2	5	2	5	8	3	1	7	7	20	0	0
457	361	7	1	7	6	7	6	2	7	4	9	7	8	7	7	8	3	8	8	2	8	20	0	0
221	334	7	7	2	3	2	3	7	7	8	6	4	7	2	7	6	8	6	4	8	9	20	0	0
151	279	5	2	3	7	3	7	2	7	7	4	7	7	4	7	4	6	2	1	5	9	20	0	0
115	62	8	5	6	5	4	4	1	7	8	7	8	6	7	2	5	7	6	8	8	1	20	0	0
198	122	5	5	5	6	6	7	5	7	1	4	7	8	5	6	7	2	1	8	7	7	20	0	0
169	133	3	5	6	3	6	3	4	7	7	6	7	7	7	7	5	8	3	2	2	2	19	0	0
108	96	7	7	3	8	7	6	5	7	4	4	3	8	2	1	8	3	9	2	2	2	18	0	0
109	66	5	6	4	3	6	7	2	7	4	2	7	6	1	7	4	7	2	8	7	5	18	0	0
119	18	3	6	6	8	6	6	7	7	9	4	4	7	7	5	8	6	2	7	2	7	18	0	0
189	371	7	7	4	8	6	7	5	4	1	3	7	2	7	2	7	8	6	6	5	4	17	0	0
143	384	2	7	6	8	7	6	2	5	2	2	8	3	2	2	5	8	1	7	2	5	16	0	0
219	362	5	5	5	1	5	6	2	6	4	2	5	3	7	2	7	5	7	8	2	8	16	0	0
186	364	5	7	5	5	5	7	2	6	7	3	7	7	2	7	7	6	3	1	5	7	16	0	0
457	265	7	5	4	4	4	4	7	2	2	2	4	5	7	2	7	8	8	9	7	2	16	0	0
180	101	2	7	6	3	6	7	7	6	4	6	8	3	7	7	8	8	2	1	2	7	16	0	0
435	348	7	7	2	4	7	7	7	7	8	8	2	7	6	6	8	8	8	2	2	9	15	0	0
129	82	6	7	5	3	6	6	5	6	2	6	6	3	7	7	8	4	9	7	5	7	15	0	0
179	82	7	7	3	8	6	6	7	2	6	2	3	3	7	7	4	4	1	2	9	5	15	0	0
103	133	5	8	5	3	6	3	5	6	9	6	3	7	6	6	5	2	3	4	2	3	15	0	0
125	108	3	2	5	5	6	6	4	7	7	3	7	2	2	2	1	3	3	2	7	7	14	0	0
257	353	7	1	8	6	2	6	7	7	8	7	4	3	2	2	6	4	6	1	7	8	14	0	0
203	97	7	5	4	4	6	6	5	7	2	2	6	7	5	7	8	4	8	8	5	5	14	0	0
454	234	4	7	4	2	4	5	2	7	2	8	7	7	7	2	4	6	6	7	9	8	13	0	0
77	34	4	7	7	4	3	5	7	2	2	6	3	3	7	2	2	7	1	6	2	7	13	0	0
418	366	2	7	7	6	3	2	7	7	2	4	6	7	7	2	8	8	5	5	2	2	13	0	0
194	305	7	4	2	6	7	4	7	6	4	3	8	7	2	4	3	2	2	2	7	2	13	0	0
102	34	4	7	3	3	7	7	7	7	2	2	3	7	2	2	6	4	4	1	7	4	12	0	0
153	48	5	7	2	8	3	6	4	1	9	1	4	6	7	6	8	3	4	8	2	4	12	0	0
44	182	4	3	4	7	5	6	4	4	9	9	7	5	7	2	8	2	2	8	7	7	12	0	0
191	84	2	7	5	8	7	4	7	7	3	2	7	3	7	2	3	4	5	3	7	4	12	0	0
195	115	5	2	6	4	6	3	5	7	9	8	2	5	2	7	7	6	1	1	4	6	12	0	0
128	69	5	5	3	4	3	6	7	2	4	2	7	5	2	2	8	7	9	9	7	2	12	0	0
197	280	1	2	2	5	6	6	7	7	8	4	5	2	2	7	6	8	2	1	7	2	12	0	0
181	77	6	6	6	6	6	6	7	5	7	9	3	7	1	6	7	5	2	5	4	7	12	0	0
182	75	7	4	3	7	7	3	7	2	6	2	7	7	2	7	7	7	4	8	4	2	11	0	0
154	68	5	7	5	8	4	5	7	7	2	2	8	7	5	7	4	3	8	4	7	2	11	0	0
429	377	7	7	3	5	7	7	6	4	3	4	7	6	6	2	1	6	1	9	7	2	11	0	0
391	331	5	5	4	4	3	4	7	5	2	1	7	7	6	2	7	8	1	6	2	5	10	0	0
166	126	7	5	7	6	3	6	7	5	4	1	7	7	7	5	6	7	7	1	7	8	10	0	0
140	130	7	5	4	6	7	5	5	4	8	4	7	8	7	7	8	3	1	8	5	7	10	0	0
49	192	4	6	5	8	5	4	6	2	9	7	5	3	2	2	8	4	5	2	3	4	10	0	0
184	316	7	7	8	2	4	6	4	7	2	4	3	3	2	6	7	8	8	8	4	5	10	0	0
438	352	2	2	3	5	3	6	7	7	7	2	7	8	7	5	7	4	8	1	2	2	10	0	0
201	314	3	6	6	5	5	4	4	7	9	2	5	6	2	7	2	7	8	8	7	8	10	0	0
193	55	5	1	8	1	6	6	7	4	6	2	7	7	7	2	4	1	9	7	7	8	10	0	0
122	28	8	7	3	2	3	4	7	6	4	1	7	4	7	8	7	2	2	6	5	1	10	0	0
172	335	5	7	6	2	5	7	7	7	2	8	4	7	2	6	8	8	7	4	2	1	10	0	0
9	111	4	6	6	5	5	6	6	5	2	2	3	7	6	2	7	8	3	9	4	5	10	0	0
224	49	7	5	8	2	6	7	7	7	2	4	7	7	2	7	8	8	1	1	4	1	9	0	0
128	115	5	6	8	4	6	3	2	4	4	7	7	3	6	4	8	7	7	8	8	9	9	0	0
128	61	2	7	5	2	4	6	7	2	3	7	3	7	2	6	3	8	2	9	7	2	9	0	0
190	294	7	5	2	7	6	7	7	7	8	2	8	3	1	2	3	3	2	8	7	3	9	0	0
468	252	6	6	4	6	4	3	2	7	2	7	7	3	6	7	8	5	8	8	9	9	9	0	0
206	121	7	6	3	8	6	6	7	7	8	9	7	3	4	2	8	8	8	1	5	8	9	0	0
146	284	5	5	4	7	6	6	7	4	4	4	5	7	7	5	7	6	6	1	2	7	9	0	0
192	307	5	7	4	3	4	6	7	6	4	6	5	7	7	7	7	6	6	7	2	9	9	0	0
148	44	6	7	8	6	4	7	7	7	3	7	3	3	2	7	4	8	2	8	4	1	9	0	0
407	343	4	2	6	5	6	6	7	2	9	4	7	7	2	5	2	8	8	1	3	9	9	0	0
217	352	5	6	5	5	4	7	5	7	2	9	8	4	7	7	3	7	8	6	8	7	9	0	0
367	340	3	7	5	3	7	7	7	5	2	4	7	3	7	2	2	8	7	9	7	2	9	0	0
113	44	2	5	7	2	4	3	7	7	7	2	3	3	7	2	2	8	2	4	8	9	8	0	0
187	138	6	4	8	6	6	7	7	6	7	3	2	3	2	7	8	5	7	9	4	7	8	0	0
136	96	2	7	8	6	6	1	4	4	9	8	8	3	7	6	3	3	2	7	2	2	8	0	0
188	294	2	7	2	3	6	3	7	7	4	4	8	3	5	7	3	6	1	4	2	7	8	0	0
224	319	1	7	1	2	7	7	7	2	9	3	3	3	7	6	3	5	8	9	8	7	8	0	0
152	29	7	4	6	2	4	6	7	6	3	6	3	7	2	2	3	2	2	4	8	9	8	0	0
440	235	7	6	6	7	3	3	7	7	8	4	2	7	7	5	5	8	5	1	9	2	8	0	0
114	49	7	5	5	4	4	7	7	5	2	4	7	5	1	7	8	7	2	7	2	8	8	0	0
191	311	6	5	6	4	6	4	4	7	9	2	7	5	2	7	5	3	8	6	8	6	8	0	0
111	120	2	7	3	4	6	6	5	2	9	4	7	7	7	1	5	7	7	2	8	4	8	0	0
394	393	3	7	2	2	6	7	2	7	8	8	7	7	6	6	5	8	9	8	2	5	8	0	0
268	266	7	5	5	2	2	6	7	2	3	4	7	7	2	6	8	2	5	7	7	4	8	0	0
457	264	7	2	8	6	4	7	7	7	9	6	7	7	7	6	7	7	8	8	1	4	8	0	0
286	323	7	6	1	8	6	3	2	4	2	9	8	7	7	6	5	5	8	6	9	1	8	0	0
174	336	7	2	5	6	4	6	4	7	6	4	3	7	2	6	8	4	7	1	7	2	8	0	0
113	2	2	2	7	5	7	3	1	7	7	4	8	7	7	5	2	8	2	4	8	1	7	0	0
78	35	2	7	7	3	3	5	7	7	4	2	3	5	7	2	2	7	1	8	2	4	7	0	0
224	340	5	7	2	4	6	6	7	5	3	4	4	7	8	7	8	8	6	8	7	9	7	0	0
123	35	5	1	6	4	3	3	4	7	6	8	3	2	7	2	8	6	2	1	2	6	7	0	0
360	323	2	2	6	2	7	6	7	7	9	2	7	4	6	2	7	1	8	8	4	6	7	0	0
156	327	3	6	5	3	6	7	7	2	6	2	7	7	5	5	8	5	4	6	9	9	7	0	0
154	336	5	5	6	3	5	7	7	7	6	4	3	7	7	7	8	4	8	1	8	5	7	0	0
160	88	5	5	6	8	6	6	4	7	2	4	3	4	7	2	8	8	3	1	4	7	7	0	0
149	155	7	6	4	6	6	7	7	4	3	4	2	7	2	7	5	8	1	1	7	2	7	0	0
127	48	8	7	6	4	4	7	7	2	7	4	8	7	7	6	7	5	6	1	8	9	7	0	0
210	107	5	2	6	5	6	7	5	2	1	4	7	7	6	1	7	7	8	9	7	2	7	0	0
245	316	7	7	8	7	6	7	7	7	3	9	7	8	2	7	1	3	6	8	7	8	6	0	0
464	303	5	5	2	3	6	3	6	7	3	2	4	3	8	7	1	6	8	4	6	9	6	0	0
142	60	6	5	6	6	6	6	4	5	4	1	7	7	7	5	8	4	1	1	2	7	6	0	0
36	176	5	7	5	6	5	7	4	7	4	2	5	8	7	5	8	3	5	1	3	2	6	0	0
177	393	7	5	5	4	5	4	2	7	4	4	7	5	2	7	7	3	1	6	4	2	6	0	0
